ID;Especie;CAP_cm;DAP_cm;Coordenadas
1;Cordia alliodora;133.8;4.258.976;6.2614872377499555,-75.57691019028425
2;Cordia alliodora;133.3;4.243.061;6.26045741378863,-75.57625941932201
3;Cordia alliodora;125.5;399.478;6.259825520799341,-75.57572331279516
4;Cordia alliodora;142.0;451.999;6.260202457057415,-75.57535886764526
5;Cordia alliodora;74.1;2.358.671;6.261995483454889,-75.5755764618516
6;Cordia alliodora;39.2;1.247.772;6.26205480652789,-75.57533003389835
7;Cordia alliodora;122.0;3.883.372;6.2620388092953805,-75.57570956647396
8;Cordia alliodora;84.0;2.673.797;6.2623307587114025,-75.57601936161518
9;Cordia alliodora;78.1;2.485.994;6.262159788354018,-75.57595632970333
10;Cordia alliodora;179.4;5.710.466;6.26262737381849,-75.57608272880316
11;Cordia alliodora;105.7;3.364.528;6.2627976774723795,-75.57601667940617
12;Cordia alliodora;91.7;2.918.895;6.262788012491538,-75.57614509016275
13;Cordia alliodora;175.6;5.589.509;6.262769015804557,-75.57611726224422
14;Cordia alliodora;167.8;5.341.227;6.262826672413784,-75.57630099356174
15;Cordia alliodora;179.2;57.041;6.2628899946940155,-75.57650048285723
16;Cordia alliodora;97.4;3.100.331;6.262826339138598,-75.57652227580547
17;Cordia alliodora;171.4;5.455.819;6.26278168026263,-75.57659804821014
18;Cordia alliodora;92.5;294.436;6.262869998185295,-75.57691588997841
19;Cordia alliodora;101.5;3.230.838;6.262910324477082,-75.57700607925653
20;Cordia alliodora;48.9;1.556.532;6.262882995916046,-75.57709459215403
21;Cordia alliodora;66.7;2.123.122;6.262881996090616,-75.57718276977539
22;Cordia alliodora;86.6;2.756.557;6.2631646133362535,-75.57703658938408
