"anio","1","2","3","4","5","6","7","8","9","10","11","12"
1901,25.3000011444092,25.8000011444092,25.8999996185303,25.5,25.1000003814697,25.2000007629395,25.6000003814697,25.3999996185303,25,24.3999996185303,24.7000007629395,24.5
1902,25.3000011444092,25.8000011444092,25.8000011444092,25.5,25.1000003814697,25.2000007629395,25.6000003814697,25.3999996185303,24.8999996185303,24.5,24.8000011444092,24.6000003814697
1903,25.3000011444092,25.8000011444092,25.8999996185303,25.5,25.1000003814697,25.2000007629395,25.6000003814697,25.3999996185303,25,24.3999996185303,24.7000007629395,24.5
1904,25.2000007629395,25.8000011444092,25.8000011444092,25.5,25,25.2000007629395,25.6000003814697,25.3999996185303,25,24.3999996185303,24.8000011444092,24.5
1905,25.2000007629395,25.7000007629395,25.8000011444092,25.5,25,25.1000003814697,25.6000003814697,25.3999996185303,25,24.5,24.8000011444092,24.5
1906,25.2000007629395,25.7000007629395,25.8000011444092,25.5,25.1000003814697,25.2000007629395,25.6000003814697,25.3999996185303,24.8999996185303,24.5,24.8000011444092,24.5
1907,25.3000011444092,25.8000011444092,25.8999996185303,25.5,25,25.1000003814697,25.6000003814697,25.3999996185303,25,24.3999996185303,24.7000007629395,24.5
1908,25.3000011444092,25.7000007629395,25.8000011444092,25.3999996185303,25,25.1000003814697,25.6000003814697,25.3999996185303,25,24.3999996185303,24.7000007629395,24.5
1909,25.3000011444092,25.8000011444092,25.8999996185303,25.5,25,25.1000003814697,25.6000003814697,25.3999996185303,25,24.3999996185303,24.8000011444092,24.5
1910,25.2000007629395,25.8000011444092,25.8000011444092,25.3999996185303,25.1000003814697,25.2000007629395,25.6000003814697,25.3999996185303,25,24.5,24.8000011444092,24.5
1911,25.3000011444092,25.7000007629395,25.8999996185303,25.3999996185303,25,25.2000007629395,25.6000003814697,25.3999996185303,25,24.5,24.8000011444092,24.5
1912,25.2000007629395,25.7000007629395,25.8000011444092,25.3999996185303,25.1000003814697,25.2000007629395,25.6000003814697,25.3999996185303,25,24.3999996185303,24.7000007629395,24.5
1913,25.2000007629395,25.8000011444092,25.8999996185303,25.5,25.1000003814697,25.2000007629395,25.6000003814697,25.3999996185303,25,24.5,24.7000007629395,24.5
1914,25.2000007629395,25.7000007629395,25.8000011444092,25.3999996185303,25,25.2000007629395,25.6000003814697,25.3999996185303,25,24.3999996185303,24.8000011444092,24.6000003814697
