"anio","1","2","3","4","5","6","7","8","9","10","11","12"
1901,14.4000005722046,14.5,14.8000001907349,15,15,14.8000001907349,14.6999998092651,14.6000003814697,14.5,14.5,14.6999998092651,14.4000005722046
1902,14.4000005722046,14.5,14.6999998092651,15,15,14.8000001907349,14.6999998092651,14.6000003814697,14.4000005722046,14.6000003814697,14.8000001907349,14.5
1903,14.4000005722046,14.5,14.8000001907349,15,15,14.8000001907349,14.6999998092651,14.6000003814697,14.5,14.5,14.6999998092651,14.4000005722046
1904,14.3000001907349,14.5,14.6999998092651,15,14.9000005722046,14.8000001907349,14.6999998092651,14.6000003814697,14.5,14.5,14.8000001907349,14.4000005722046
1905,14.3000001907349,14.4000005722046,14.6999998092651,15,14.9000005722046,14.6999998092651,14.6999998092651,14.6000003814697,14.5,14.6000003814697,14.8000001907349,14.4000005722046
1906,14.3000001907349,14.4000005722046,14.6999998092651,15,15,14.8000001907349,14.6999998092651,14.6000003814697,14.4000005722046,14.6000003814697,14.8000001907349,14.4000005722046
1907,14.4000005722046,14.5,14.8000001907349,15,14.9000005722046,14.6999998092651,14.6999998092651,14.6000003814697,14.5,14.5,14.6999998092651,14.4000005722046
1908,14.4000005722046,14.4000005722046,14.6999998092651,14.9000005722046,14.9000005722046,14.6999998092651,14.6999998092651,14.6000003814697,14.5,14.5,14.6999998092651,14.4000005722046
1909,14.4000005722046,14.5,14.8000001907349,15,14.9000005722046,14.6999998092651,14.6999998092651,14.6000003814697,14.5,14.5,14.8000001907349,14.4000005722046
1910,14.3000001907349,14.5,14.6999998092651,14.9000005722046,15,14.8000001907349,14.6999998092651,14.6000003814697,14.5,14.6000003814697,14.8000001907349,14.4000005722046
1911,14.4000005722046,14.4000005722046,14.8000001907349,14.9000005722046,14.9000005722046,14.8000001907349,14.6999998092651,14.6000003814697,14.5,14.6000003814697,14.8000001907349,14.4000005722046
1912,14.3000001907349,14.4000005722046,14.6999998092651,14.9000005722046,15,14.8000001907349,14.6999998092651,14.6000003814697,14.5,14.5,14.6999998092651,14.4000005722046
1913,14.3000001907349,14.5,14.8000001907349,15,15,14.8000001907349,14.6999998092651,14.6000003814697,14.5,14.6000003814697,14.6999998092651,14.4000005722046
1914,14.3000001907349,14.4000005722046,14.6999998092651,14.9000005722046,14.9000005722046,14.8000001907349,14.6999998092651,14.6000003814697,14.5,14.5,14.8000001907349,14.5
1915,14.4000005722046,14.5,14.8000001907349,15,15.9000005722046,15.5,15.6000003814697,15.8000001907349,15,15.6999998092651,15.3000001907349,15.1000003814697
1916,14.6000003814697,14.5,14.6999998092651,15.6000003814697,15.6000003814697,15.1999998092651,15.1999998092651,14.5,15,14.6000003814697,14.6999998092651,14.1999998092651
1917,13.9000005722046,13.5,14.6000003814697,15,15,14.3000001907349,14.8000001907349,14.4000005722046,14.5,14.6000003814697,14.6999998092651,14.5
1918,14.1999998092651,14.1000003814697,13.6999998092651,14.5,14,14,14.6999998092651,15,14.6000003814697,15,14.6000003814697,14.4000005722046
1919,14.3000001907349,14.4000005722046,14.8000001907349,14.9000005722046,15,14.8000001907349,14.6999998092651,14.6000003814697,14.5,14.5,14.6999998092651,14.5
1920,14.3000001907349,14.4000005722046,14.8000001907349,14.9000005722046,14.9000005722046,14.8000001907349,14.6999998092651,14.6000003814697,14.5,14.6000003814697,14.6999998092651,14.4000005722046
1921,14.4000005722046,14.3000001907349,13.9000005722046,14.4000005722046,14.3000001907349,14.3000001907349,14.6999998092651,14.1000003814697,14.4000005722046,13.8000001907349,14.5,14.1999998092651
1922,14.1999998092651,14,14,14.8000001907349,14.5,13.9000005722046,14.1999998092651,14.4000005722046,14.3000001907349,14.1000003814697,14.1000003814697,13.9000005722046
1923,13.6000003814697,14,14.5,14.6999998092651,14.5,14.8000001907349,14,14.3000001907349,14.6999998092651,14.1999998092651,14.9000005722046,14.3000001907349
1924,15,14.6000003814697,15.6000003814697,15.4000005722046,15.1999998092651,14.1999998092651,14.1000003814697,14.8000001907349,13.6999998092651,14.1000003814697,14.3000001907349,14
1925,13.6000003814697,13.4000005722046,13.6000003814697,14.6999998092651,15,14.5,14.3000001907349,14.1999998092651,14.3000001907349,14.8000001907349,14.6000003814697,14.6999998092651
1926,14.8000001907349,15.1000003814697,15.4000005722046,16,15.6999998092651,15.3000001907349,14.6999998092651,14.5,14.1999998092651,14.6000003814697,14.9000005722046,14.1000003814697
1927,14,14,14.6000003814697,14.5,14.5,14.4000005722046,13.6999998092651,14.6999998092651,14.3000001907349,14.4000005722046,15.1000003814697,14.5
1928,14.1999998092651,14.6999998092651,14.5,15.1999998092651,14.9000005722046,14.6000003814697,14.6000003814697,14.4000005722046,14.4000005722046,14.6000003814697,14.6999998092651,14.1999998092651
1929,14.5,14.6999998092651,14.6000003814697,14.9000005722046,14.6000003814697,14.5,14.1999998092651,14.5,14.6000003814697,14.6999998092651,14.9000005722046,14.6000003814697
