Half-degree cell series of temperature
Centre Latitude:              6.25
Centre Longitude:           -75.75
CRU TS Version:               4.07
Units:                     degrees C

  Yr  Mo     Value   N.Obs
1901   1     19.80     1
1901   2     20.10     1
1901   3     20.30     1
1901   4     20.20     1
1901   5     20.00     1
1901   6     20.00     1
1901   7     20.10     0
1901   8     20.00     0
1901   9     19.70     1
1901  10     19.40     1
1901  11     19.70     1
1901  12     19.40     1
1902   1     19.80     1
1902   2     20.10     1
1902   3     20.20     1
1902   4     20.20     1
1902   5     20.00     1
1902   6     20.00     1
1902   7     20.10     1
1902   8     20.00     0
1902   9     19.60     1
1902  10     19.50     1
1902  11     19.80     1
1902  12     19.50     1
1903   1     19.80     1
1903   2     20.10     1
1903   3     20.30     1
1903   4     20.20     1
1903   5     20.00     1
1903   6     20.00     1
1903   7     20.10     0
1903   8     20.00     0
1903   9     19.70     0
1903  10     19.40     1
1903  11     19.70     1
1903  12     19.40     1
1904   1     19.70     1
1904   2     20.10     0
1904   3     20.20     1
1904   4     20.20     0
1904   5     19.90     1
1904   6     20.00     0
1904   7     20.10     0
1904   8     20.00     0
1904   9     19.70     0
1904  10     19.40     1
1904  11     19.80     1
1904  12     19.40     1
1905   1     19.70     1
1905   2     20.00     1
1905   3     20.20     1
1905   4     20.20     1
1905   5     19.90     1
1905   6     19.90     1
1905   7     20.10     0
1905   8     20.00     0
1905   9     19.70     0
1905  10     19.50     1
1905  11     19.80     1
1905  12     19.40     1
1906   1     19.70     1
1906   2     20.00     1
1906   3     20.20     1
1906   4     20.20     1
1906   5     20.00     1
1906   6     20.00     1
1906   7     20.10     0
1906   8     20.00     0
1906   9     19.60     1
1906  10     19.50     0
1906  11     19.80     1
1906  12     19.40     1
1907   1     19.80     0
1907   2     20.10     0
1907   3     20.30     0
1907   4     20.20     0
1907   5     19.90     1
1907   6     19.90     1
1907   7     20.10     0
1907   8     20.00     0
1907   9     19.70     0
1907  10     19.40     1
1907  11     19.70     1
1907  12     19.40     1
1908   1     19.80     1
1908   2     20.00     1
1908   3     20.20     1
1908   4     20.10     1
1908   5     19.90     1
1908   6     19.90     1
1908   7     20.10     0
1908   8     20.00     0
1908   9     19.70     0
1908  10     19.40     1
1908  11     19.70     1
1908  12     19.40     1
1909   1     19.80     1
1909   2     20.10     0
1909   3     20.30     1
1909   4     20.20     0
1909   5     19.90     1
1909   6     19.90     1
1909   7     20.10     0
1909   8     20.00     0
1909   9     19.70     1
1909  10     19.40     1
1909  11     19.80     1
1909  12     19.40     1
1910   1     19.70     1
1910   2     20.10     0
1910   3     20.20     1
1910   4     20.10     1
1910   5     20.00     1
1910   6     20.00     1
1910   7     20.10     1
1910   8     20.00     1
1910   9     19.70     0
1910  10     19.50     0
1910  11     19.80     1
1910  12     19.40     1
1911   1     19.80     0
1911   2     20.00     1
1911   3     20.30     0
1911   4     20.10     1
1911   5     19.90     1
1911   6     20.00     0
1911   7     20.10     0
1911   8     20.00     0
1911   9     19.70     0
1911  10     19.50     1
1911  11     19.80     1
1911  12     19.40     1
1912   1     19.70     1
1912   2     20.00     1
1912   3     20.20     1
1912   4     20.10     1
1912   5     20.00     1
1912   6     20.00     0
1912   7     20.10     0
1912   8     20.00     0
1912   9     19.70     0
1912  10     19.40     1
1912  11     19.70     1
1912  12     19.40     1
1913   1     19.70     1
1913   2     20.10     0
1913   3     20.30     0
1913   4     20.20     0
1913   5     20.00     0
1913   6     20.00     0
1913   7     20.10     0
1913   8     20.00     0
1913   9     19.70     0
1913  10     19.50     0
1913  11     19.70     1
1913  12     19.40     1
1914   1     19.70     1
1914   2     20.00     1
1914   3     20.20     1
1914   4     20.10     1
1914   5     19.90     1
1914   6     20.00     0
1914   7     20.10     0
1914   8     20.00     0
1914   9     19.70     0
1914  10     19.40     1
1914  11     19.80     1
1914  12     19.50     1
1915   1     19.80     1
1915   2     20.10     1
1915   3     20.30     1
1915   4     20.20     1
1915   5     20.90     2
1915   6     20.70     2
1915   7     21.00     2
1915   8     21.20     1
1915   9     20.20     2
1915  10     20.60     2
1915  11     20.30     2
1915  12     20.10     2
1916   1     20.00     2
1916   2     20.10     1
1916   3     20.20     2
1916   4     20.80     2
1916   5     20.60     2
1916   6     20.40     2
1916   7     20.60     1
1916   8     19.90     1
1916   9     20.20     1
1916  10     19.50     1
1916  11     19.70     1
1916  12     19.20     1
1917   1     19.30     1
1917   2     19.10     1
1917   3     20.10     1
1917   4     20.20     1
1917   5     20.00     1
1917   6     19.50     1
1917   7     20.20     1
1917   8     19.80     1
1917   9     19.70     1
1917  10     19.50     2
1917  11     19.70     1
1917  12     19.50     1
1918   1     19.60     1
1918   2     19.70     2
1918   3     19.20     2
1918   4     19.70     1
1918   5     19.00     1
1918   6     19.20     1
1918   7     20.10     0
1918   8     20.40     1
1918   9     19.80     1
1918  10     19.90     1
1918  11     19.60     2
1918  12     19.40     2
1919   1     19.70     1
1919   2     20.00     1
1919   3     20.30     0
1919   4     20.10     1
1919   5     20.00     1
1919   6     20.00     0
1919   7     20.10     0
1919   8     20.00     0
1919   9     19.70     0
1919  10     19.40     1
1919  11     19.70     1
1919  12     19.50     1
1920   1     19.70     1
1920   2     20.00     1
1920   3     20.30     0
1920   4     20.10     1
1920   5     19.90     1
1920   6     20.00     0
1920   7     20.10     0
1920   8     20.00     0
1920   9     19.70     0
1920  10     19.50     0
1920  11     19.70     1
1920  12     19.40     1
1921   1     19.80     2
1921   2     19.90     1
1921   3     19.40     1
1921   4     19.60     1
1921   5     19.30     1
1921   6     19.50     1
1921   7     20.10     1
1921   8     19.50     1
1921   9     19.60     1
1921  10     18.70     1
1921  11     19.50     1
1921  12     19.20     2
1922   1     19.60     2
1922   2     19.60     2
1922   3     19.50     2
1922   4     20.00     2
1922   5     19.50     1
1922   6     19.10     1
1922   7     19.60     1
1922   8     19.80     1
1922   9     19.50     1
1922  10     19.00     1
1922  11     19.10     1
1922  12     18.90     2
1923   1     19.00     2
1923   2     19.60     2
1923   3     20.00     3
1923   4     19.90     2
1923   5     19.50     2
1923   6     20.00     2
1923   7     19.40     2
1923   8     19.70     2
1923   9     19.90     2
1923  10     19.10     2
1923  11     19.90     2
1923  12     19.30     2
1924   1     20.40     3
1924   2     20.20     2
1924   3     21.10     3
1924   4     20.60     3
1924   5     20.20     3
1924   6     19.40     3
1924   7     19.50     3
1924   8     20.20     2
1924   9     18.90     2
1924  10     19.00     2
1924  11     19.30     3
1924  12     19.00     3
1925   1     19.00     2
1925   2     19.00     2
1925   3     19.10     2
1925   4     19.90     3
1925   5     20.00     3
1925   6     19.70     3
1925   7     19.70     3
1925   8     19.60     2
1925   9     19.50     2
1925  10     19.70     3
1925  11     19.60     3
1925  12     19.70     3
1926   1     20.20     3
1926   2     20.70     3
1926   3     20.90     3
1926   4     21.20     3
1926   5     20.70     3
1926   6     20.50     3
1926   7     20.10     3
1926   8     19.90     3
1926   9     19.40     3
1926  10     19.50     3
1926  11     19.90     3
1926  12     19.10     3
1927   1     19.40     3
1927   2     19.60     3
1927   3     20.10     3
1927   4     19.70     3
1927   5     19.50     3
1927   6     19.60     2
1927   7     19.10     3
1927   8     20.10     2
1927   9     19.50     2
1927  10     19.30     3
1927  11     20.10     3
1927  12     19.50     3
1928   1     19.60     3
1928   2     20.30     3
1928   3     20.00     3
1928   4     20.40     3
1928   5     19.90     3
1928   6     19.80     3
1928   7     20.00     2
1928   8     19.80     2
1928   9     19.60     2
1928  10     19.50     3
1928  11     19.70     3
1928  12     19.20     3
1929   1     19.90     3
1929   2     20.30     2
1929   3     20.10     3
1929   4     20.10     3
1929   5     19.60     3
1929   6     19.70     3
1929   7     19.60     2
1929   8     19.90     3
1929   9     19.80     2
1929  10     19.60     3
1929  11     19.90     3
1929  12     19.60     3
1930   1     19.60     2
1930   2     20.00     1
1930   3     20.70     2
1930   4     20.40     1
1930   5     19.70     1
1930   6     19.80     1
1930   7     20.00     1
1930   8     19.70     1
1930   9     19.70     1
1930  10     19.30     1
1930  11     20.30     2
1930  12     19.90     2
1931   1     20.40     3
1931   2     20.60     3
1931   3     21.10     3
1931   4     21.00     3
1931   5     20.40     3
1931   6     20.30     3
1931   7     19.80     3
1931   8     20.00     2
1931   9     19.70     3
1931  10     19.80     3
1931  11     19.90     2
1931  12     19.50     3
1932   1     19.90     3
1932   2     20.20     3
1932   3     20.00     3
1932   4     21.20     3
1932   5     19.60     3
1932   6     19.80     3
1932   7     19.70     3
1932   8     20.00     3
1932   9     19.60     3
1932  10     19.00     3
1932  11     19.90     3
1932  12     19.40     3
1933   1     20.20     5
1933   2     20.00     5
1933   3     20.50     5
1933   4     20.30     5
1933   5     20.40     5
1933   6     20.10     5
1933   7     20.70     5
1933   8     20.10     5
1933   9     20.20     5
1933  10     19.30     5
1933  11     19.70     5
1933  12     19.40     5
1934   1     19.60     5
1934   2     19.40     5
1934   3     19.60     5
1934   4     20.80     5
1934   5     20.30     5
1934   6     20.60     5
1934   7     20.10     5
1934   8     20.50     5
1934   9     20.80     5
1934  10     19.70     5
1934  11     20.00     5
1934  12     19.90     5
1935   1     19.90     5
1935   2     19.80     5
1935   3     20.50     5
1935   4     20.40     5
1935   5     19.80     5
1935   6     20.30     5
1935   7     20.40     5
1935   8     20.00     4
1935   9     19.90     5
1935  10     19.80     5
1935  11     19.90     5
1935  12     19.90     5
1936   1     20.10     5
1936   2     20.40     5
1936   3     20.90     5
1936   4     20.90     5
1936   5     20.50     5
1936   6     20.10     5
1936   7     20.30     5
1936   8     20.60     5
1936   9     20.40     5
1936  10     19.80     5
1936  11     20.70     5
1936  12     19.60     5
1937   1     19.80     3
1937   2     20.10     3
1937   3     21.00     3
1937   4     20.90     3
1937   5     20.10     3
1937   6     20.00     3
1937   7     20.10     3
1937   8     20.10     3
1937   9     19.70     3
1937  10     19.80     3
1937  11     20.20     3
1937  12     20.10     3
1938   1     20.10     5
1938   2     20.30     5
1938   3     19.80     6
1938   4     19.80     6
1938   5     19.80     6
1938   6     20.10     6
1938   7     20.20     6
1938   8     19.80     5
1938   9     20.00     6
1938  10     19.80     6
1938  11     19.70     6
1938  12     19.40     6
1939   1     19.70     6
1939   2     19.50     5
1939   3     19.80     6
1939   4     20.00     5
1939   5     20.30     6
1939   6     20.00     6
1939   7     20.20     6
1939   8     20.60     6
1939   9     20.30     6
1939  10     19.80     6
1939  11     20.10     5
1939  12     20.30     6
1940   1     19.30     7
1940   2     20.40     7
1940   3     20.20     7
1940   4     21.00     6
1940   5     21.10     6
1940   6     20.50     6
1940   7     20.90     6
1940   8     20.80     6
1940   9     20.30     6
1940  10     20.00     6
1940  11     20.10     6
1940  12     19.20     7
1941   1     20.00     8
1941   2     20.20     7
1941   3     21.00     8
1941   4     20.80     8
1941   5     21.30     8
1941   6     20.60     8
1941   7     20.60     7
1941   8     20.90     8
1941   9     20.80     8
1941  10     20.80     7
1941  11     21.20     8
1941  12     21.20     8
1942   1     19.90     8
1942   2     20.20     7
1942   3     20.50     8
1942   4     20.10     8
1942   5     20.00     7
1942   6     20.10     6
1942   7     20.00     6
1942   8     20.30     7
1942   9     20.20     7
1942  10     19.60     7
1942  11     19.50     8
1942  12     19.80     7
1943   1     19.90     8
1943   2     19.80     8
1943   3     19.40     8
1943   4     20.00     8
1943   5     19.60     8
1943   6     19.60     8
1943   7     19.90     8
1943   8     20.00     7
1943   9     20.60     8
1943  10     19.80     8
1943  11     20.20     8
